255.979,241.518,267.476,318.631,830.143,3002.487,
223.573,232.578,245.959,353.429,788.726,3041.285,
232.813,228.320,241.191,312.223,774.940,2992.617,
232.821,234.663,265.154,310.036,777.775,2986.809,
255.390,236.006,235.186,298.410,762.364,2999.074,
228.864,233.377,250.247,318.013,770.606,2979.339,
241.406,228.775,256.732,302.514,764.037,2994.296,
237.739,234.068,248.811,304.194,774.939,2984.889,
235.886,234.640,249.143,298.036,781.352,2972.277,
236.582,235.676,245.346,316.426,769.537,3008.026,
